TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0000096"	"sulfur amino acid metabolic process"	-2.2541128739161547	5.389678072680837	0.6045711859846593	0.6232127385198889	0.53210148	-8.19211152476106	4.1623549068591235	null
"GO:0000460"	"maturation of 5.8S rRNA"	-3.2794866582215425	4.86423214121635	0.1803006726670273	0.5961881148444329	0.65659493	-4.90930068668122	-3.7251215405386042	null
"GO:0000470"	"maturation of LSU-rRNA"	-3.922886831195291	4.920384242178358	0.20518715412917427	0.5921696185755898	0.59099573	-4.660303724632927	-3.486745807453323	null
"GO:0002181"	"cytoplasmic translation"	-22.2495144239621	5.207542813955311	0.3974763229665376	0.580417500723756	0	-6.733070629623954	-1.0469559621547224	null
"GO:0002182"	"cytoplasmic translational elongation"	-3.0268003580928236	3.592953571547866	0.009651922492400466	0.6608289719738225	0.69099207	-7.974447303836637	-2.6298293591098107	null
"GO:0002183"	"cytoplasmic translational initiation"	-3.5055139873691683	4.702714802874462	0.1243017760819051	0.5989201892557875	0.48926856	-7.309676091978607	-1.6957067950436102	null
"GO:0006450"	"regulation of translational fidelity"	-2.9163987279484807	5.078960423555517	0.29561600610151356	1	-0	1.8743535879509483	-6.014867870437558	null
"GO:0006537"	"glutamate biosynthetic process"	-2.1152806777703783	4.524279255847971	0.08242091117106017	0.5769167337953903	0.67009017	-8.645134358996884	1.5071227009122943	null
"GO:0006616"	"SRP-dependent cotranslational protein targeting to membrane, translocation"	-2.2847539712701317	4.576364389089749	0.09292316902093718	0.9855931345813477	0.008425	3.641118976980864	-2.8198694344781536	null
"GO:0008152"	"metabolic process"	-2.4449763332997145	7.368635761264388	57.597931274565454	1	-0	3.351229284817593	3.88642029790243	null
"GO:0009067"	"aspartate family amino acid biosynthetic process"	-3.5055139873691683	5.4871935429333805	0.7567688912721283	0.49110425925572443	0.63775023	-7.5622855293190465	1.3980260368963608	null
"GO:0071265"	"L-methionine biosynthetic process"	-2.1152806777703783	4.696723243167566	0.12259864062678538	0.5455706229468514	0.79000223	null	null	9067
"GO:0010467"	"gene expression"	-2.3263822734329542	6.710774489460372	12.663260691525247	0.5668346744466087	0.45657675	-5.1238813681355655	-0.8776831393683537	null
"GO:0016053"	"organic acid biosynthetic process"	-3.1869972932108914	6.25194734754039	4.4026914173902405	0.498880589794459	0.21692113	-7.167457420308251	1.975319292155832	null
"GO:0008652"	"amino acid biosynthetic process"	-2.3819145278208653	6.036271093732633	2.679426429329935	0.456227173770196	0.81183982	null	null	16053
"GO:0019752"	"carboxylic acid metabolic process"	-2.6070633639376193	6.545215051125638	8.649401753337283	0.5782522159557706	0.7862514	null	null	16053
"GO:1901607"	"alpha-amino acid biosynthetic process"	-2.7748224993526356	5.980129321456284	2.354507127387729	0.45913717446622804	0.7430888	null	null	16053
"GO:0016072"	"rRNA metabolic process"	-4.077529044837683	5.826642903003747	1.653535024007062	0.6509958545435159	0.21802309	-3.1846561551110635	-2.7837013109051734	null
"GO:0034470"	"ncRNA processing"	-2.500143701854688	6.093096192594597	3.0539855982274378	0.5395203640344499	0.80122612	null	null	16072
"GO:0042273"	"ribosomal large subunit biogenesis"	-2.924208026340194	5.12315555918394	0.3272829877619735	0.8914638945745725	0.63200998	-3.176832048288636	-7.68135039131261	null
"GO:0043043"	"peptide biosynthetic process"	-13.773969815035858	6.2703058580872275	4.592791896959665	0.5188172408277294	0.64900656	-6.180021712236918	0.2515890574004989	null
"GO:0043603"	"amide metabolic process"	-11.747550569633349	6.434781688128081	6.707376287050344	0.7836221244810491	0.13247309	-3.0527005554870885	5.931447772718988	null
"GO:0044237"	"cellular metabolic process"	-2.4174404971937933	7.271961032709232	46.10331480933213	0.8271563262130823	0.13458491	-0.3840526310011623	5.575821737199759	null
"GO:0044271"	"cellular nitrogen compound biosynthetic process"	-4.182953402612982	6.72073425943514	12.957025677761646	0.5844507498260826	0.36321189	-4.45766880068408	0.8204745927748489	null
"GO:0098754"	"detoxification"	-2.1668723485354233	5.605018295584764	0.9926322015147898	1	-0	4.0770704785548775	0.4444744373666363	null
"GO:1901564"	"organonitrogen compound metabolic process"	-3.2859366444593814	7.044703138835916	27.31959408292786	0.7142703174484127	0.27258733	-3.0017902643294314	3.4877746923003006	null
"GO:1901576"	"organic substance biosynthetic process"	-3.55381059144845	7.058749650643281	28.21764434528959	0.6043593845422406	0.53115188	-4.48341486625932	1.2711997230213565	null
