TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0003723"	"RNA binding"	-2.125599608641549	6.40046321177744	5.722212435765044	0.8052553378367568	0.34544739	null
"GO:0003735"	"structural constituent of ribosome"	-2.3063453870079487	5.974312230703925	2.1449279465042137	1	-0	null
"GO:0003743"	"translation initiation factor activity"	-2.506156090153474	5.2294847399952245	0.385996278395293	0.7534591290723279	0.25296266	null
"GO:0090079"	"translation regulator activity, nucleic acid binding"	-2.0556205805954177	5.539427408845252	0.7880015875679078	0.7460395020846088	0.91511342	3743
"GO:0003955"	"NAD(P)H dehydrogenase (quinone) activity"	-5.946673441464065	4.281714970027296	0.043530454831469736	0.773019403110879	0.0306045	null
"GO:0003954"	"NADH dehydrogenase activity"	-2.5031034455898045	4.919971923220444	0.1892638364960708	0.7707388248007722	0.80762064	3955
"GO:0008137"	"NADH dehydrogenase (ubiquinone) activity"	-3.210565435928671	4.980539655506521	0.21758855662191656	0.7574406142483915	0.79795986	3955
"GO:0016765"	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	-14.124351859826227	5.617101035413468	0.9423254583845189	0.9793855026034232	0	null
"GO:0016846"	"carbon-sulfur lyase activity"	-2.6890263909525376	4.8484477685814085	0.16052495238991618	0.9814590528802952	0.03420288	null
"GO:0019843"	"rRNA binding"	-6.900720816804705	5.6824889447715865	1.0954409716541849	0.8327836646557257	0.05469995	null
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	-2.054019641899559	5.6729886335160264	1.0717380484734336	0.902421624405444	0.1503654	null
"GO:0051540"	"metal cluster binding"	-12.725269847452662	5.938982792374914	1.9773485526914547	0.895217867426396	-0	null
"GO:0097159"	"organic cyclic compound binding"	-2.0791220405935267	7.235848595807177	39.169633533373776	0.8924849646911944	0.09495105	null
"GO:1901363"	"heterocyclic compound binding"	-2.125599608641549	6.950775633109688	20.31779257334349	0.8612069837988088	0.230554	null
